Model,Dropout_Rate,RMSE
Standard GBIM,10,1.031397931487887
Indicator GBIM,10,1.0025545379580993
Pattern Cluster GBIM,10,0.9625501048922214
Simplified Embedding GBIM,10,0.9365815399962965
Standard GBIM,30,1.2268045882887662
Indicator GBIM,30,1.1654987233741003
Pattern Cluster GBIM,30,1.1242101283643908
Simplified Embedding GBIM,30,1.135877074866885
Standard GBIM,50,1.5611889492703805
Indicator GBIM,50,1.489494592476813
Pattern Cluster GBIM,50,1.4031168859325944
Simplified Embedding GBIM,50,1.4256527340649152
